Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line,Saves_Over,Saves_Under,Saves_Line
Sebastian Aho,-145,,0.5,,,,,,,,102,2.5,,,
Andrei Svechnikov,106,,0.5,,,,-215,,0.5,,-104,2.5,,,
Brent Burns,113,,0.5,,,,-130,,0.5,,123,2.5,,,
Seth Jarvis,130,,0.5,,,,-160,,0.5,,-131,2.5,,,
Martin Necas,135,,0.5,,,,-165,,0.5,,104,2.5,,,
Brady Skjei,135,,0.5,,,,101,,0.5,,-170,2.5,,,
Seth Jones,140,,0.5,,,,103,,0.5,,130,1.5,,,
Michael Bunting,165,,0.5,,,,-124,,0.5,,-183,2.5,,,
Connor Bedard,165,,0.5,,,,-135,,0.5,,-104,2.5,,,
Philipp Kurashev,190,,0.5,,,,104,,0.5,,-119,1.5,,,
Teuvo Teravainen,200,,0.5,,,,100,,0.5,,108,1.5,,,
Nick Foligno,220,,0.5,,,,111,,0.5,,-129,1.5,,,
Jason Dickinson,240,,0.5,,,,140,,0.5,,,,,,
Tyler Johnson,270,,0.5,,,,128,,0.5,,-117,1.5,,,
Jordan Martinook,,,,,,,,,,,120,1.5,,,
Jack Drury,,,,,,,,,,,,,,,
Jesper Fast,,,,,,,,,,,,,,,
Jordan Staal,,,,,,,,,,,,,,,
Taylor Raddysh,,,,,,,,,,,,,,,
Anthony Beauvillier,,,,,,,,,,,,,,,
Jesperi Kotkaniemi,,,,,,,,,,,,,,,
Stefan Noesen,,,,,,,,,,,,,,,
Ryan Donato,,,,,,,,,,,,,,,
Joey Anderson,,,,,,,,,,,,,,,
Boris Katchouk,,,,,,,,,,,,,,,
Colin Blackwell,,,,,,,,,,,,,,,
Jaccob Slavin,,,,,,,,,,,117,1.5,,,
MacKenzie Entwistle,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,,,110,1.5,,,
Alex Vlasic,,,,,,,,,,,,,,,
Kevin Korchinski,,,,,,,,,,,,,,,
Dmitry Orlov,,,,,,,,,,,,,,,
Jalen Chatfield,,,,,,,,,,,,,,,
Jaycob Megna,,,,,,,,,,,,,,,
Louis Crevier,,,,,,,,,,,,,,,
Jarred Tinordi,,,,,,,,,,,,,,,
Spencer Martin,,,,,,,,,,,,,,-133,24.5
Petr Mrazek,,,,,,,,,,,,,,-110,29.5
Nikita Kucherov,-265,,0.5,,,,,,,,106,3.5,,,
Victor Hedman,-185,,0.5,,,,-240,,0.5,,-149,2.5,,,
Steven Stamkos,-128,,0.5,,,,-255,,0.5,,100,2.5,,,
Brayden Point,-121,,0.5,,,,-270,,0.5,,-105,2.5,,,
Tim Stutzle,106,,0.5,,,,-175,,0.5,,-167,2.5,,,
Claude Giroux,117,,0.5,,,,-170,,0.5,,-135,2.5,,,
Thomas Chabot,120,,0.5,,,,-114,,0.5,,-139,2.5,,,
Brandon Hagel,122,,0.5,,,,-175,,0.5,,-123,2.5,,,
Anthony Cirelli,130,,0.5,,,,-128,,0.5,,-198,2.5,,,
Jakob Chychrun,160,,0.5,,,,106,,0.5,,-152,2.5,,,
Drake Batherson,170,,0.5,,,,-117,,0.5,,123,1.5,,,
Brady Tkachuk,180,,0.5,,,,-175,,0.5,,-104,3.5,,,
Vladimir Tarasenko,195,,0.5,,,,-102,,0.5,,111,1.5,,,
Josh Norris,200,,0.5,,,,-108,,0.5,,-208,2.5,,,
Shane Pinto,240,,0.5,,,,112,,0.5,,-178,2.5,,,
Nicholas Paul,245,,0.5,,,,126,,0.5,,-102,1.5,,,
Michael Eyssimont,,,,,,,,,,,133,1.5,,,
Ridly Greig,,,,,,,,,,,,,,,
Mathieu Joseph,,,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Tyler Motte,,,,,,,,,,,,,,,
Dominik Kubalik,,,,,,,,,,,,,,,
Mitchell Chaffee,,,,,,,,,,,,,,,
Luke Glendening,,,,,,,,,,,,,,,
Conor Sheary,,,,,,,,,,,,,,,
Parker Kelly,,,,,,,,,,,,,,,
Jake Sanderson,,,,,,,,,,,108,1.5,,,
Darren Raddysh,,,,,,,,,,,,,,,
Mark Kastelic,,,,,,,,,,,,,,,
Calvin de Haan,,,,,,,,,,,,,,,
Nick Perbix,,,,,,,,,,,,,,,
Artem Zub,,,,,,,,,,,,,,,
Erik Cernak,,,,,,,,,,,,,,,
Erik Brannstrom,,,,,,,,,,,,,,,
Jacob Bernard-Docker,,,,,,,,,,,,,,,
Emil Martinsen Lilleberg,,,,,,,,,,,,,,,
Anton Forsberg,,,,,,,,,,,,,,-113,27.5
Andrei Vasilevskiy,,,,,,,,,,,,,,-123,27.5
